POP_SIZE,max_gen,elitism,mut_prob,xo_prob,mutation,crossover,selection_algorithm,best_fitness,timestamp
50,50,True,0.3,0.7,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,0.05714285714285552,2025-05-17 11:52:14.319349
50,50,True,0.3,0.7,single_player_swap_2teams,crossover_swap_whole_position,tournament_selection,0.05714285714285552,2025-05-17 11:52:17.067414
50,50,True,0.3,0.7,single_player_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.05714285714285552,2025-05-17 11:52:25.402417
50,50,True,0.3,0.7,single_player_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.05714285714285552,2025-05-17 11:52:27.914540
50,50,True,0.3,0.7,single_player_shift_all_teams,crossover_swap_whole_position,roulette_selection,0.16659862556700822,2025-05-17 11:52:37.012755
50,50,True,0.3,0.7,single_player_shift_all_teams,crossover_swap_whole_position,tournament_selection,0.13997084244475427,2025-05-17 11:52:39.532154
50,50,True,0.3,0.7,single_player_shift_all_teams,crossover_swap_extreme_player,roulette_selection,0.10690449676496672,2025-05-17 11:52:49.669134
50,50,True,0.3,0.7,single_player_shift_all_teams,crossover_swap_extreme_player,tournament_selection,0.22857142857142707,2025-05-17 11:52:52.306143
50,50,True,0.3,0.7,full_position_swap_2teams,crossover_swap_whole_position,roulette_selection,0.10690449676496672,2025-05-17 11:53:00.740551
50,50,True,0.3,0.7,full_position_swap_2teams,crossover_swap_whole_position,tournament_selection,0.13997084244475427,2025-05-17 11:53:03.293598
50,50,True,0.3,0.7,full_position_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.05714285714285552,2025-05-17 11:53:12.715578
50,50,True,0.3,0.7,full_position_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.05714285714285552,2025-05-17 11:53:15.197897
50,50,True,0.3,0.8,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,0.05714285714285552,2025-05-17 11:53:24.170143
50,50,True,0.3,0.8,single_player_swap_2teams,crossover_swap_whole_position,tournament_selection,0.05714285714285552,2025-05-17 11:53:27.394913
50,50,True,0.3,0.8,single_player_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.05714285714285552,2025-05-17 11:53:36.472885
50,50,True,0.3,0.8,single_player_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.05714285714285552,2025-05-17 11:53:39.075609
50,50,True,0.3,0.8,single_player_shift_all_teams,crossover_swap_whole_position,roulette_selection,0.16659862556700822,2025-05-17 11:53:48.516444
50,50,True,0.3,0.8,single_player_shift_all_teams,crossover_swap_whole_position,tournament_selection,0.13997084244475427,2025-05-17 11:53:51.084970
50,50,True,0.3,0.8,single_player_shift_all_teams,crossover_swap_extreme_player,roulette_selection,0.16659862556700822,2025-05-17 11:53:59.980009
50,50,True,0.3,0.8,single_player_shift_all_teams,crossover_swap_extreme_player,tournament_selection,0.1895214165917356,2025-05-17 11:54:02.847009
50,50,True,0.3,0.8,full_position_swap_2teams,crossover_swap_whole_position,roulette_selection,0.10690449676496672,2025-05-17 11:54:11.637639
50,50,True,0.3,0.8,full_position_swap_2teams,crossover_swap_whole_position,tournament_selection,0.10690449676496672,2025-05-17 11:54:14.155392
50,50,True,0.3,0.8,full_position_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.05714285714285552,2025-05-17 11:54:22.470339
50,50,True,0.3,0.8,full_position_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.05714285714285552,2025-05-17 11:54:25.277385
50,50,True,0.3,0.9,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,0.05714285714285552,2025-05-17 11:54:33.737709
50,50,True,0.3,0.9,single_player_swap_2teams,crossover_swap_whole_position,tournament_selection,0.05714285714285552,2025-05-17 11:54:36.333065
50,50,True,0.3,0.9,single_player_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.05714285714285552,2025-05-17 11:54:45.199513
50,50,True,0.3,0.9,single_player_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.05714285714285552,2025-05-17 11:54:47.844509
50,50,True,0.3,0.9,single_player_shift_all_teams,crossover_swap_whole_position,roulette_selection,0.10690449676496672,2025-05-17 11:54:56.594637
50,50,True,0.3,0.9,single_player_shift_all_teams,crossover_swap_whole_position,tournament_selection,0.10690449676496672,2025-05-17 11:54:59.131685
50,50,True,0.3,0.9,single_player_shift_all_teams,crossover_swap_extreme_player,roulette_selection,0.10690449676496672,2025-05-17 11:55:07.401147
50,50,True,0.3,0.9,single_player_shift_all_teams,crossover_swap_extreme_player,tournament_selection,0.16659862556700383,2025-05-17 11:55:09.966260
50,50,True,0.3,0.9,full_position_swap_2teams,crossover_swap_whole_position,roulette_selection,0.05714285714285552,2025-05-17 11:55:18.565630
50,50,True,0.3,0.9,full_position_swap_2teams,crossover_swap_whole_position,tournament_selection,0.05714285714285552,2025-05-17 11:55:21.134122
50,50,True,0.3,0.9,full_position_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.05714285714285552,2025-05-17 11:55:30.113738
50,50,True,0.3,0.9,full_position_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.05714285714285552,2025-05-17 11:55:32.726388
50,100,True,0.1,0.7,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,0.05714285714285552,2025-05-17 11:55:49.555691
50,100,True,0.1,0.7,single_player_swap_2teams,crossover_swap_whole_position,tournament_selection,0.05714285714285552,2025-05-17 11:55:54.406474
50,100,True,0.1,0.7,single_player_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.05714285714285552,2025-05-17 11:56:11.373558
50,100,True,0.1,0.7,single_player_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.10690449676496672,2025-05-17 11:56:16.818963
50,100,True,0.1,0.7,single_player_shift_all_teams,crossover_swap_whole_position,roulette_selection,0.16659862556700822,2025-05-17 11:56:33.650168
